1        0.0     0.00    0.00    1000.00 0.00
2        0.1     7.05    0.79    50.00   0.77
3        0.3     2.27    -3.09   39.31   1.16
4        0.4     2.29    -3.09   39.23   1.15
5        0.6     4.42    -3.06   26.84   1.15
6        0.9     2.32    -3.05   39.37   1.14
7        1.1     2.36    -3.02   39.32   1.14
8        1.4     4.56    -2.99   28.71   1.12
9        1.7     4.62    -2.89   30.92   1.10
10       2.0     4.64    -2.95   29.60   1.09
11       2.3     4.60    -3.00   28.28   1.09
12       2.5     4.52    -3.02   27.90   1.09
13       2.8     2.46    -2.98   38.89   1.10
14       3.2     2.42    -2.94   39.71   1.10
15       3.5     2.43    -2.95   39.59   1.10
16       3.8     2.54    -3.00   38.02   1.08
17       4.1     2.72    -3.10   34.87   1.07
18       4.3     2.77    3.11    34.06   1.06
19       4.7     2.79    2.95    36.51   1.07
20       4.9     2.77    2.97    36.34   1.08
21       5.3     2.36    -3.10   38.43   1.09
22       5.6     1.74    -3.06   44.86   1.10
23       5.8     1.77    -3.01   44.78   1.10
24       6.2     1.91    -3.14   42.64   1.09
25       6.4     2.05    3.09    41.57   1.07
26       6.8     0.56    2.94    74.26   1.05
27       7.0     3.78    2.86    31.61   1.02
28       7.3     3.00    2.59    41.06   1.01
29       7.7     2.83    1.11    94.88   1.03
30       7.9     4.89    1.03    50.00   1.03
31       8.2     4.85    0.68    50.00   1.03
32       8.4     1.99    0.48    150.85  1.02
33       8.8     4.98    0.19    50.00   1.02
34       9.0     5.00    0.18    50.00   1.02
35       9.3     2.01    0.25    149.48  1.02
36       9.6     4.04    0.30    50.00   1.02
37       9.8     1.54    0.20    178.88  1.02
38       10.1    4.43    0.60    50.00   1.06
39       10.3    2.15    0.28    140.83  1.08
40       10.6    1.50    1.61    111.09  1.07
41       10.8    1.20    1.38    152.43  1.06
42       11.1    1.35    2.45    49.46   1.05
43       11.3    1.68    2.63    47.44   1.05
44       11.6    1.37    2.96    48.54   1.05
45       11.8    1.18    1.00    206.38  1.06
46       12.1    0.78    0.96    368.82  1.06
47       12.4    0.58    -2.72   100.50  1.06
48       12.6    1.87    -2.63   46.40   1.06
49       12.9    4.83    -2.55   39.15   1.06
50       13.2    1.42    1.06    184.74  1.06
51       13.5    2.73    -2.65   41.63   1.06
52       13.8    4.46    -2.44   41.82   1.07
53       14.1    2.68    -2.65   41.90   1.07
54       14.3    2.63    -2.67   41.87   1.07
55       14.6    2.53    -2.70   41.99   1.08
56       14.9    2.43    -2.70   42.58   1.10
57       15.1    2.31    -2.72   43.13   1.11
58       15.4    2.17    -2.72   43.96   1.12
59       15.6    2.00    -2.91   43.45   1.15
60       15.9    1.90    -2.92   44.29   1.16
61       16.1    1.81    -2.94   44.85   1.18
62       16.4    1.82    -3.02   44.26   1.19
63       16.6    1.89    -3.01   43.72   1.18
64       16.9    2.02    -2.87   43.74   1.16
65       17.1    2.13    -2.83   43.15   1.15
66       17.4    2.00    -2.80   44.39   1.12
67       17.6    2.16    -2.56   45.57   1.10
68       17.9    4.39    -2.50   40.28   1.09
69       18.1    4.98    -2.49   40.65   1.09
70       18.4    4.98    -2.48   40.88   1.09
71       18.6    4.21    -2.51   40.19   1.11
72       18.9    4.92    -2.67   36.30   1.12
73       19.1    4.78    -2.68   35.99   1.15
74       19.4    4.66    -3.03   27.77   1.17
75       19.7    3.68    -3.02   27.92   1.19
76       20.0    3.57    -3.01   28.50   1.21
77       20.2    3.52    -3.00   29.18   1.23
78       20.5    0.89    -2.98   59.62   1.25
79       20.7    3.38    -2.95   31.34   1.27
80       21.0    0.45    -2.94   78.85   1.29
81       21.2    3.79    -2.90   30.81   1.30
82       21.5    3.67    -2.85   31.92   1.30
83       21.7    3.69    -2.81   32.98   1.29
84       22.0    3.84    -2.76   34.17   1.27
85       22.2    4.15    -2.84   32.25   1.25
86       22.5    0.50    -3.02   65.90   1.24
87       22.7    0.57    -3.01   66.17   1.24
88       23.0    4.26    -3.13   25.26   1.21
89       23.2    4.38    -3.12   25.54   1.19
90       23.5    4.53    -3.10   25.99   1.15
91       23.7    4.21    -3.08   26.44   1.12
92       24.0    4.95    -3.05   27.15   1.11
93       24.2    4.40    -2.87   31.56   1.11
94       24.5    4.03    -2.83   32.42   1.11
95       24.7    3.92    -2.78   33.71   1.09
96       25.0    3.91    -2.73   34.90   1.06
97       25.2    3.29    -2.67   37.94   1.03
98       25.5    4.22    -2.76   34.21   0.98
99       25.7    4.57    -2.98   28.86   0.94
100      26.0    4.98    -2.92   30.33   0.89
101      26.2    4.87    -3.03   27.69   0.84
102      26.5    2.19    2.98    41.28   0.80
103      26.7    2.29    3.03    39.89   0.77
104      27.0    2.89    2.88    36.74   0.76
105      27.2    2.95    2.92    35.64   0.76
106      27.5    2.47    0.13    120.79  0.77
107      27.7    1.56    0.10    177.36  0.79
108      28.0    4.65    2.99    28.73   0.82
109      28.2    4.67    3.02    27.86   0.84
110      28.5    4.72    3.08    26.58   0.83
111      28.7    4.83    -0.02   50.00   0.80
112      29.0    4.98    -0.08   50.00   0.75
113      29.2    4.34    -0.12   50.00   0.69
114      29.5    4.01    -0.17   50.00   0.61
115      29.7    4.14    -0.24   50.00   0.54
116      30.0    4.14    -0.29   50.00   0.51
117      30.2    4.13    -0.34   50.00   0.54
118      30.5    4.09    -0.39   50.00   0.60
119      30.7    4.58    -0.43   50.00   0.69
120      31.0    4.53    -0.48   50.00   0.90
Time to reach the goal = 30.950001
