1        0.0     0.00    0.00    1000.00 0.00
2        0.2     6.06    0.17    50.00   1.16
3        0.3     0.56    -2.88   81.94   1.95
4        0.5     0.57    -2.87   83.37   1.95
5        0.7     0.58    -2.83   86.91   1.96
6        0.9     0.54    -2.79   93.67   1.96
7        1.2     0.62    -2.73   95.36   1.97
8        1.5     0.88    -2.71   76.18   1.99
9        1.7     1.28    -2.65   49.55   2.01
10       2.0     2.02    -2.61   45.77   2.03
11       2.2     3.22    -2.57   40.42   2.05
12       2.5     3.16    -2.49   42.22   2.06
13       2.7     3.17    -2.43   43.50   2.06
14       3.0     3.24    -2.34   44.96   2.06
15       3.2     3.36    -2.25   46.75   2.06
16       3.5     3.50    -2.16   48.40   2.05
17       3.7     1.12    -2.19   64.02   2.04
18       4.0     3.67    -2.17   48.17   2.05
19       4.3     3.70    -2.11   49.66   2.05
20       4.5     3.76    -2.07   50.00   2.06
21       4.8     3.90    -2.06   50.00   2.05
22       5.1     4.06    -2.12   49.43   2.04
23       5.4     4.22    -2.15   48.72   2.02
24       5.7     4.38    -2.14   49.00   1.99
25       5.9     4.54    -2.10   49.76   1.96
26       6.2     1.24    -2.07   54.09   1.93
27       6.4     4.90    -2.08   50.00   1.90
28       6.7     2.72    -2.12   49.61   1.87
29       6.9     2.73    -2.20   48.42   1.86
30       7.2     2.70    -2.30   46.86   1.86
31       7.4     4.86    -2.40   42.59   1.88
32       7.7     0.62    -2.46   125.49  1.89
33       7.9     4.84    -2.48   40.72   1.92
34       8.2     4.85    -2.47   41.02   1.94
35       8.4     4.98    -2.42   42.17   1.97
36       8.7     4.91    -2.34   44.22   1.99
37       8.9     4.39    -2.26   46.13   2.03
38       9.2     4.61    -2.22   47.10   2.07
39       9.4     4.47    -2.29   45.37   2.11
40       9.7     1.87    -2.32   48.48   2.15
41       9.9     4.23    -2.34   44.11   2.19
42       10.2    4.16    -2.34   44.13   2.23
43       10.4    4.13    -2.30   45.17   2.26
44       10.7    4.20    -1.96   50.00   2.29
45       10.9    4.32    -1.91   50.00   2.30
46       11.2    4.45    -1.87   50.00   2.29
47       11.4    4.55    -2.00   50.00   2.28
48       11.7    4.34    -2.08   50.00   2.26
49       11.9    4.78    -2.02   50.00   2.24
50       12.2    4.51    -2.18   47.97   2.25
51       12.4    4.92    -2.16   48.46   2.27
52       12.7    4.66    -2.14   48.90   2.30
53       12.9    3.82    -2.12   49.50   2.34
54       13.2    3.18    -2.18   48.36   2.39
55       13.4    4.88    -1.76   50.00   2.46
56       13.7    4.76    -1.74   50.00   2.53
57       13.9    4.96    -1.74   50.00   2.62
58       14.2    4.88    -1.74   50.00   2.69
59       14.4    4.90    -1.74   50.00   2.77
60       14.7    2.95    -1.72   64.47   2.84
61       14.9    3.55    -1.70   51.06   2.94
62       15.2    3.05    -1.67   63.85   3.00
63       15.4    2.76    -1.63   73.03   3.03
64       15.8    2.61    -1.59   79.47   3.06
65       16.0    2.46    -1.57   85.64   -3.13
66       16.3    2.34    -1.54   91.68   -3.01
67       16.5    2.34    -1.51   93.58   -2.91
68       16.8    2.48    -1.50   89.77   -2.89
69       17.0    2.49    -1.50   89.42   -2.88
70       17.3    2.44    -1.48   92.32   -2.91
71       17.5    2.41    -1.46   95.03   -2.99
72       17.8    2.44    -1.38   99.05   3.14
73       18.0    2.49    -1.29   103.50  3.02
74       18.3    2.62    -1.17   104.05  2.90
75       18.5    2.80    -1.03   100.00  2.78
76       18.8    3.11    -1.18   76.99   2.62
77       19.0    3.59    -1.33   50.55   2.43
78       19.3    4.40    -1.86   50.00   2.21
79       19.5    4.90    -1.81   50.00   1.93
80       19.8    4.21    -1.80   50.00   1.69
81       20.0    4.67    -2.04   50.00   1.42
82       20.3    4.61    -2.30   45.18   1.17
83       20.5    1.75    -2.60   47.27   0.94
84       20.8    2.16    -2.91   42.20   0.80
85       21.0    4.17    3.05    27.23   0.81
86       21.3    3.53    2.69    36.20   0.87
87       21.6    3.86    2.49    40.45   0.97
88       21.9    3.99    2.41    42.55   1.01
89       22.1    3.90    2.42    42.27   1.07
90       22.4    3.41    2.51    40.98   1.18
91       22.6    4.08    2.65    36.79   1.37
Time to reach the goal = 22.600000
