1        0.0     0.00    0.00    1000.00 0.00
2        0.2     4.33    0.42    50.00   1.07
3        0.3     2.00    -2.83   44.12   1.53
4        0.5     2.02    -2.81   44.11   1.53
5        0.7     2.03    -2.78   44.31   1.53
6        0.9     2.08    -2.73   44.47   1.53
7        1.2     2.17    -2.65   44.58   1.52
8        1.5     2.24    -2.65   44.23   1.52
9        1.7     2.31    -2.66   43.71   1.52
10       2.0     2.27    -2.65   44.12   1.53
11       2.2     2.12    -2.60   45.39   1.53
12       2.5     2.05    -2.54   46.22   1.54
13       2.7     2.09    -2.53   46.15   1.53
14       3.0     2.18    -2.56   45.48   1.52
15       3.3     2.36    -2.61   44.00   1.51
16       3.5     2.47    -2.67   42.66   1.50
17       3.8     2.54    -2.74   41.44   1.51
18       4.0     2.51    -2.79   40.86   1.52
19       4.3     2.40    -2.81   41.47   1.53
20       4.6     2.20    -2.78   43.16   1.55
21       4.8     1.96    -2.73   45.20   1.57
22       5.1     1.72    -2.64   47.17   1.58
23       5.3     1.49    -2.52   48.78   1.60
24       5.6     1.31    -2.33   49.73   1.62
25       5.8     1.29    -2.20   49.91   1.63
26       6.1     1.32    -2.15   49.93   1.62
27       6.3     1.40    -2.12   49.95   1.61
28       6.6     1.46    -2.05   55.48   1.60
29       6.8     1.65    -2.28   49.18   1.58
30       7.1     2.38    -2.80   41.71   1.58
31       7.3     2.30    2.88    41.37   1.58
32       7.7     3.24    2.45    42.86   1.58
33       7.9     1.96    2.15    49.54   1.58
34       8.1     2.34    1.29    110.53  1.55
35       8.4     1.85    1.32    130.91  1.53
36       8.6     1.74    0.97    165.99  1.53
37       8.9     1.85    0.69    159.13  1.52
38       9.1     2.06    0.43    146.37  1.52
39       9.4     2.16    0.33    140.23  1.51
40       9.7     2.12    0.24    142.37  1.51
41       9.9     1.85    0.03    159.19  1.51
42       10.2    2.73    -0.26   104.23  1.51
43       10.4    2.50    -1.59   83.22   1.50
44       10.8    3.87    -1.55   50.00   1.49
45       11.0    2.81    -1.48   79.00   1.48
46       11.3    2.32    -2.19   48.89   1.47
47       11.5    2.46    -2.13   49.51   1.46
48       11.8    2.51    -2.18   48.83   1.45
49       12.0    2.61    -2.34   46.57   1.44
50       12.3    2.71    -2.45   44.63   1.44
51       12.5    2.73    -2.54   43.19   1.44
52       12.8    2.83    -2.57   42.24   1.43
53       13.1    2.86    -2.60   41.65   1.43
54       13.4    2.84    -2.62   41.49   1.44
55       13.6    2.79    -2.69   40.58   1.45
56       13.9    2.84    -2.80   38.46   1.48
57       14.1    2.86    -2.88   37.01   1.50
58       14.4    2.76    -2.94   36.94   1.53
59       14.7    2.53    -2.94   38.74   1.55
60       15.0    1.24    -2.90   49.64   1.58
61       15.3    1.74    -2.81   46.14   1.61
62       15.6    1.40    -2.67   48.83   1.64
63       15.9    1.10    -2.50   61.91   1.67
64       16.2    1.00    -2.33   80.39   1.68
65       16.5    1.03    -2.23   79.99   1.68
66       16.8    1.12    -2.17   64.30   1.67
67       17.0    1.24    -2.17   49.97   1.65
68       17.3    1.39    -2.20   49.80   1.62
69       17.5    1.54    -2.27   49.39   1.59
70       17.9    1.78    -2.40   48.22   1.56
71       18.1    2.10    -2.56   45.81   1.52
72       18.4    2.52    -2.74   41.53   1.49
73       18.6    3.13    -2.90   34.51   1.45
74       19.0    4.01    -3.04   27.41   1.40
75       19.2    3.51    -3.13   26.28   1.36
76       19.5    3.64    3.14    -1.#J   1.31
77       19.7    3.81    3.12    25.52   1.26
78       20.0    4.02    -3.11   25.68   1.20
79       20.3    4.07    -3.11   25.74   1.18
80       20.5    4.06    -3.11   25.70   1.18
81       20.8    4.01    3.14    -1.#J   1.20
82       21.0    3.90    3.08    26.58   1.24
83       21.3    3.83    3.08    26.40   1.27
84       21.6    4.93    3.12    25.39   1.31
85       21.9    4.08    -3.10   26.05   1.35
86       22.1    3.44    -2.99   30.05   1.38
87       22.4    2.79    -2.83   38.38   1.40
88       22.7    2.49    -2.67   42.66   1.41
89       23.0    1.66    -2.59   47.75   1.39
90       23.2    2.20    -2.56   45.37   1.37
91       23.5    2.51    -2.55   44.08   1.32
92       23.8    2.68    -2.60   42.53   1.28
93       24.0    2.90    -2.67   40.33   1.23
94       24.3    3.27    -2.76   36.18   1.17
95       24.5    3.85    -2.91   30.54   1.10
96       24.8    4.52    -3.05   27.20   1.05
97       25.0    4.92    3.12    25.42   1.04
98       25.3    4.88    3.03    27.68   1.06
99       25.5    4.85    2.97    29.16   1.10
100      25.8    4.86    2.94    29.71   1.18
101      26.0    4.88    2.96    29.44   1.27
102      26.3    4.46    3.02    27.81   1.38
103      26.5    3.34    3.10    28.56   1.52
104      26.8    2.47    -3.05   37.87   1.66
105      27.0    1.84    -2.90   44.85   1.83
106      27.3    1.39    -2.73   48.81   2.02
107      27.5    1.10    -2.53   61.61   2.21
108      27.8    0.92    -2.30   95.58   2.39
109      28.0    0.82    -2.13   123.23  2.58
110      28.3    0.85    -2.12   118.55  2.78
111      28.5    0.99    -1.55   191.44  2.94
112      28.8    2.08    -1.29   123.20  3.03
113      29.0    1.95    -1.11   146.81  3.08
114      29.3    1.82    -0.99   161.25  3.01
Time to reach the goal = 29.299999
