1        0.0     0.00    0.00    1000.00 0.00
2        0.1     6.02    0.17    50.00   1.16
3        0.3     0.55    -2.92   77.42   1.95
4        0.5     0.53    -2.90   81.25   1.95
5        0.7     0.58    -2.86   83.10   1.95
6        0.9     0.78    -2.78   79.26   1.95
7        1.2     0.97    -2.68   70.00   1.94
8        1.5     1.25    -2.57   49.75   1.94
9        1.7     1.78    -2.47   47.84   1.95
10       2.0     2.66    -2.39   45.70   1.96
11       2.2     3.81    -2.32   44.72   1.97
12       2.5     1.28    -2.24   49.89   1.98
13       2.7     3.82    -2.22   47.07   1.98
14       3.0     3.54    -2.21   47.20   1.98
15       3.2     4.09    -2.26   46.04   1.97
16       3.5     3.81    -2.29   45.27   1.96
17       3.8     4.21    -2.28   45.58   1.97
18       4.0     4.18    -2.24   46.42   1.98
19       4.3     4.14    -2.19   47.60   1.99
20       4.6     4.14    -2.20   47.53   2.01
21       4.8     4.22    -2.24   46.58   2.01
22       5.1     4.34    -2.27   45.69   2.00
23       5.3     4.48    -2.27   45.78   1.98
24       5.6     4.62    -2.23   46.83   1.95
25       5.8     4.66    -2.21   47.28   1.94
26       6.1     4.71    -2.22   46.97   1.94
27       6.3     4.87    -2.26   45.96   1.92
28       6.6     4.99    -2.31   44.85   1.90
29       6.8     5.00    -2.32   44.72   1.89
30       7.2     2.58    -2.30   47.16   1.89
31       7.4     0.47    -2.29   169.85  1.90
32       7.7     0.61    -2.27   148.07  1.92
33       7.9     4.91    -2.21   47.30   1.95
34       8.2     4.84    -2.12   49.37   1.97
35       8.4     1.26    -2.04   57.73   2.00
36       8.7     1.39    -1.99   63.32   2.03
37       8.9     4.59    -1.98   50.00   2.06
38       9.2     4.44    -2.01   50.00   2.11
39       9.4     4.28    -2.07   50.00   2.15
40       9.7     4.16    -2.34   44.10   2.20
41       9.9     4.10    -2.34   44.23   2.24
42       10.2    4.06    -2.33   44.46   2.27
43       10.4    4.02    -2.27   45.70   2.31
44       10.7    4.05    -1.98   50.00   2.34
45       10.9    4.15    -1.90   50.00   2.37
46       11.2    4.30    -1.87   50.00   2.40
47       11.4    4.50    -1.83   50.00   2.40
48       11.7    4.63    -1.80   50.00   2.39
49       11.9    4.74    -1.78   50.00   2.37
50       12.2    4.82    -1.84   50.00   2.34
51       12.4    4.91    -1.89   50.00   2.32
52       12.7    4.99    -2.13   49.22   2.32
53       12.9    2.59    -2.11   49.78   2.34
54       13.2    3.75    -2.16   48.41   2.38
55       13.4    3.15    -2.03   51.60   2.43
56       13.7    3.09    -1.89   56.09   2.48
57       13.9    3.45    -1.64   54.01   2.54
58       14.2    3.43    -1.62   54.81   2.58
59       14.4    4.61    -1.45   50.00   2.58
60       14.7    4.43    -1.41   50.00   2.55
61       14.9    4.50    -1.45   50.00   2.48
62       15.2    4.78    -1.95   50.00   2.38
63       15.4    4.92    -1.90   50.00   2.25
64       15.7    4.25    -1.85   50.00   2.03
65       15.9    4.15    -1.81   50.00   1.82
66       16.2    4.33    -1.94   50.00   1.57
67       16.5    4.70    -2.14   48.94   1.30
68       16.7    1.67    -2.36   48.77   1.03
69       17.0    1.85    -2.61   46.66   0.79
70       17.2    2.29    -2.84   41.87   0.63
71       17.5    3.64    3.11    25.85   0.63
72       17.7    3.65    2.81    32.90   0.68
73       18.0    3.16    2.52    41.74   0.86
74       18.2    2.52    2.30    47.27   1.01
75       18.5    1.50    2.21    49.65   1.14
76       18.8    2.73    2.23    47.89   1.23
77       19.0    5.00    2.38    43.23   1.26
78       19.3    3.35    2.57    39.86   1.38
79       19.5    3.99    2.80    33.05   1.57
80       19.8    1.68    3.05    45.47   1.83
81       20.0    4.94    -2.95   29.46   2.13
82       20.3    3.93    -2.66   36.51   2.38
83       20.5    3.85    -2.34   44.24   2.64
84       20.8    3.47    -2.00   50.75   2.88
85       21.0    4.21    -2.00   50.00   3.09
86       21.3    2.63    -1.38   91.21   -3.00
87       21.5    2.10    -1.21   129.16  -2.88
88       21.8    1.95    -1.13   144.60  -2.80
89       22.0    2.03    -0.52   148.35  -2.83
Time to reach the goal = 22.000000
